Codigo | Nombre | Path | Padre | Fecha | Raiz
MGS01.L04 onboard training attendance record - registro de entrenamiento abordo.docx | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\1-. Formatos\MGS01\MGS01.L04 onboard training attendance record - registro de entrenamiento abordo.docx | MGS01 | 10-07-2013 | 1-. Formatos\MGS01
145.PS004 - Evacuation of injured and or sick person R.03 (13-Ene-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\145.PS004 - Evacuation of injured and or sick person R.03 (13-Ene-15) nc.pdf | Proc HSE PDF Uncontrolled | 14-01-2015 | Proc HSE PDF Uncontrolled
145.PS006 - Rescue a person suffering from electric shock R.01 (20-May-13).pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\145.PS006 - Rescue a person suffering from electric shock R.01 (20-May-13).pdf | Proc HSE PDF Uncontrolled | 10-07-2013 | Proc HSE PDF Uncontrolled
145.PS007 - Investigate and Communicate of Acc -Inc R.02 (21-Oct-15)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\145.PS007 - Investigate and Communicate of Acc -Inc R.02 (21-Oct-15)-nc.pdf | Proc HSE PDF Uncontrolled | 14-11-2015 | Proc HSE PDF Uncontrolled
145.PS019 - Task Risk Assessment Procedure R.01 (25-Mar-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\145.PS019 - Task Risk Assessment Procedure R.01 (25-Mar-15) nc.pdf | Proc HSE PDF Uncontrolled | 17-06-2015 | Proc HSE PDF Uncontrolled
145.PS020 - Attention of emergencies in helideck (28-Nov-12) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\145.PS020 - Attention of emergencies in helideck (28-Nov-12) nc.pdf | Proc HSE PDF Uncontrolled | 25-11-2014 | Proc HSE PDF Uncontrolled
145.PS022 - Inves and Communicate of Acc - Inc the Client R.00 (21-Oct-15)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\145.PS022 - Inves and Communicate of Acc - Inc the Client R.00 (21-Oct-15)-nc.pdf | Proc HSE PDF Uncontrolled | 14-11-2015 | Proc HSE PDF Uncontrolled
Thumbs.db | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc HSE PDF Uncontrolled\Thumbs.db | Proc HSE PDF Uncontrolled | 28-08-2013 | Proc HSE PDF Uncontrolled
063.PS009 - Inducción personal nvo.ingreso y al abordar R.01 (18.Sep.12).pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\063.PS009 - Inducción personal nvo.ingreso y al abordar R.01 (18.Sep.12).pdf | Proc SSPA PDF No controlada | 10-07-2013 | Proc SSPA PDF No controlada
122.PS001- Izaje de la tubería de perforación con el DDM R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\122.PS001- Izaje de la tubería de perforación con el DDM R.01 (21-Jul-15) nc.pdf | Proc SSPA PDF No controlada | 28-07-2015 | Proc SSPA PDF No controlada
122.PS002 - Deslizar y cortar cable de perforación R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\122.PS002 - Deslizar y cortar cable de perforación R.01 (21-Jul-15) nc.pdf | Proc SSPA PDF No controlada | 28-07-2015 | Proc SSPA PDF No controlada
122.PS003 - Sistema principal contra incendios R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\122.PS003 - Sistema principal contra incendios R.01 (21-Jul-15) nc.pdf | Proc SSPA PDF No controlada | 28-07-2015 | Proc SSPA PDF No controlada
142.PS005 - Permisos de Trabajo con Riesgo R.06  (10-Ago-15) IPC nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS005 - Permisos de Trabajo con Riesgo R.06  (10-Ago-15) IPC nc.pdf | Proc SSPA PDF No controlada | 30-10-2015 | Proc SSPA PDF No controlada
142.PS008 - Análisis de seguridad en el trabajo R.01 (24-Sep-14)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS008 - Análisis de seguridad en el trabajo R.01 (24-Sep-14)-nc.pdf | Proc SSPA PDF No controlada | 29-09-2014 | Proc SSPA PDF No controlada
142.PS010 - Manejo y almacenaje de sustancias químicas R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS010 - Manejo y almacenaje de sustancias químicas R.01 (21-Jul-15) nc.pdf | Proc SSPA PDF No controlada | 28-07-2015 | Proc SSPA PDF No controlada
142.PS011 - Manejo de cargas con las manos (03-Jun-12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS011 - Manejo de cargas con las manos (03-Jun-12)-nc.pdf | Proc SSPA PDF No controlada | 10-07-2013 | Proc SSPA PDF No controlada
142.PS012 - Procedimiento de orden y limpieza R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS012 - Procedimiento de orden y limpieza R.01 (21-Jul-15) nc.pdf | Proc SSPA PDF No controlada | 28-07-2015 | Proc SSPA PDF No controlada
142.PS013 - Efectuar Aislamientos de Energia R.04 (13-Ago-15) IPC nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS013 - Efectuar Aislamientos de Energia R.04 (13-Ago-15) IPC nc.pdf | Proc SSPA PDF No controlada | 30-10-2015 | Proc SSPA PDF No controlada
142.PS014 - Trabajos en altura R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS014 - Trabajos en altura R.01 (21-Jul-15) nc.pdf | Proc SSPA PDF No controlada | 28-07-2015 | Proc SSPA PDF No controlada
142.PS015 - Trabajos en Espacios Confinados R.03 (30-Nov-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS015 - Trabajos en Espacios Confinados R.03 (30-Nov-15) nc.pdf | Proc SSPA PDF No controlada | 28-01-2016 | Proc SSPA PDF No controlada
142.PS016 - Administración de tercerías, personas y equipos (03-Jun-12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS016 - Administración de tercerías, personas y equipos (03-Jun-12)-nc.pdf | Proc SSPA PDF No controlada | 10-07-2013 | Proc SSPA PDF No controlada
142.PS017 - Administración de cambios R.01 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS017 - Administración de cambios R.01 (21-Jul-15) nc.pdf | Proc SSPA PDF No controlada | 28-07-2015 | Proc SSPA PDF No controlada
142.PS018 - Manejo, almacen., disposición residuos turbosina R.02 (21-Jul-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS018 - Manejo, almacen., disposición residuos turbosina R.02 (21-Jul-15) nc.pdf | Proc SSPA PDF No controlada | 28-07-2015 | Proc SSPA PDF No controlada
142.PS026 - Procedimiento para Reuniones de SSPA a bordo (04-Feb-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS026 - Procedimiento para Reuniones de SSPA a bordo (04-Feb-15) nc.pdf | Proc SSPA PDF No controlada | 03-03-2015 | Proc SSPA PDF No controlada
142.PS027 - Seguridad en Trabajos de Corte y Soldadura R.01 (30-Nov-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS027 - Seguridad en Trabajos de Corte y Soldadura R.01 (30-Nov-15) nc.pdf | Proc SSPA PDF No controlada | 28-01-2016 | Proc SSPA PDF No controlada
142.PS028 - Procedimiento de Rescate en Alturas R.01 (30-Nov-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\142.PS028 - Procedimiento de Rescate en Alturas R.01 (30-Nov-15) nc.pdf | Proc SSPA PDF No controlada | 28-01-2016 | Proc SSPA PDF No controlada
145.PS004 - Evacuación hombre lesionado-enfermo R.03 (13-Ene-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\145.PS004 - Evacuación hombre lesionado-enfermo R.03 (13-Ene-15) nc.pdf | Proc SSPA PDF No controlada | 14-01-2015 | Proc SSPA PDF No controlada
145.PS006 - Personal accidentado por choque eléctrico R.01 (20-May-13).pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\145.PS006 - Personal accidentado por choque eléctrico R.01 (20-May-13).pdf | Proc SSPA PDF No controlada | 10-07-2013 | Proc SSPA PDF No controlada
145.PS007 - Investigación y Comunicación de Acc-Inc R 02 (21-Oct-15)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\145.PS007 - Investigación y Comunicación de Acc-Inc R 02 (21-Oct-15)-nc.pdf | Proc SSPA PDF No controlada | 14-11-2015 | Proc SSPA PDF No controlada
145.PS019 - Valoracion de Riesgos en la Tarea R.01 (25-Mar-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\145.PS019 - Valoracion de Riesgos en la Tarea R.01 (25-Mar-15) nc.pdf | Proc SSPA PDF No controlada | 18-04-2015 | Proc SSPA PDF No controlada
145.PS020 - Atención a emergencias en helipuerto (28-Nov-12)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\145.PS020 - Atención a emergencias en helipuerto (28-Nov-12)-nc.pdf | Proc SSPA PDF No controlada | 10-07-2013 | Proc SSPA PDF No controlada
145.PS022 - Investigación y Comuni de Acci -Incid al Clie R.00 (21-Oct-15)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\145.PS022 - Investigación y Comuni de Acci -Incid al Clie R.00 (21-Oct-15)-nc.pdf | Proc SSPA PDF No controlada | 14-11-2015 | Proc SSPA PDF No controlada
SSPA - HSE (30-Nov-15) - NC.pdf | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\SSPA - HSE (30-Nov-15) - NC.pdf | Proc SSPA PDF No controlada | 28-01-2016 | Proc SSPA PDF No controlada
Thumbs.db | \\10.10.2.2\05 - Library\5. CDR\13 - SSPA - HSE\Proc SSPA PDF No controlada\Thumbs.db | Proc SSPA PDF No controlada | 28-08-2013 | Proc SSPA PDF No controlada
